regime,a_error_sd,b_error_sd,t,learn_auc,transfer_auc
lazy_50,0,0,476,279.2433838060353,1785.4756919484382
lazy_50,0,8,5283,361.34285429789713,1910.758394187445
lazy_50,8,0,475,183.97717134960078,1802.2940236797415
lazy_50,8,8,5241,214.78078142865365,1855.579970782404
rich_50,0,0,815,364.661247320841,21.27385754671605
rich_50,0,8,831,368.3174054882824,22.159754653292534
rich_50,8,0,812,370.2435835501378,19.6802715109818
rich_50,8,8,820,364.3361094612386,20.776186760960236
