regime,a_error_sd,b_error_sd,participant,t,learn_auc,transfer_auc
lazy_50,8,0,sim_study1_near_sub31,162,900.8422359194483,1467.870931399894
lazy_50,8,0,sim_study1_near_sub18,407,0.0,749.8933688888297
lazy_50,8,0,sim_study1_near_sub24,137,119.09421314888604,1838.1427610842097
lazy_50,8,0,sim_study1_near_sub30,208,0.0,4332.176881982143
lazy_50,8,0,sim_study2_near_sub46,192,0.0,3518.2723108461223
lazy_50,8,0,sim_study2_near_sub52,255,527.0335358736465,141.04751563631004
lazy_50,8,0,sim_study2_near_sub44,286,522.6662407381185,802.4599764359962
lazy_50,8,0,sim_study1_near_sub26,251,722.9212097813622,740.3580182831174
lazy_50,8,0,sim_study1_near_sub32,131,173.00669672337048,1732.702818598602
lazy_50,8,0,sim_study1_near_sub33,263,298.334679809215,942.3683938804901
lazy_50,8,0,sim_study2_near_sub51,188,62.46487498575982,454.9076090202132
lazy_50,8,0,sim_study2_near_sub45,147,138.92085859351485,6119.9662178062445
lazy_50,8,0,sim_study2_near_sub36,278,28.537780969067008,2191.356139931397
lazy_50,8,0,sim_study1_near_sub40,233,948.5240519596732,976.0193432696533
lazy_50,8,0,sim_study1_near_sub54,193,0.0,1406.7656989422956
lazy_50,8,0,sim_study1_near_sub41,133,0.0,5331.213200640246
lazy_50,8,0,sim_study1_near_sub69,124,4.200231951273582,566.8768516273923
lazy_50,8,0,sim_study2_near_sub37,233,598.8554313838921,0.0
lazy_50,8,0,sim_study2_near_sub21,270,0.0,1756.8739087654449
lazy_50,8,0,sim_study1_near_sub57,324,112.53071325159056,481.4831578369973
lazy_50,8,0,sim_study1_near_sub43,325,0.0,1325.9922914216363
lazy_50,8,0,sim_study1_near_sub8,121,539.4180371970974,43.2171455716871
lazy_50,8,0,sim_study1_near_sub9,138,266.5020569929789,1955.6787676423205
lazy_50,8,0,sim_study1_near_sub56,353,110.73616557266425,1253.207787485256
lazy_50,8,0,sim_study2_near_sub20,198,152.59337960362652,2721.500800556773
lazy_50,8,0,sim_study2_near_sub30,189,49.03018378976329,2062.022625754429
lazy_50,8,0,sim_study1_near_sub52,220,631.3432403056838,499.67229387896157
lazy_50,8,0,sim_study2_near_sub8,258,364.3949911292855,1931.855390446492
lazy_50,8,0,sim_study2_near_sub9,411,336.4688507217147,576.2517340236712
lazy_50,8,0,sim_study1_near_sub47,270,0.0,675.9946818790112
lazy_50,8,0,sim_study1_near_sub53,302,104.16826204486834,2335.689655517915
lazy_50,8,0,sim_study2_near_sub19,104,2250.734337430369,7306.999284282768
lazy_50,8,0,sim_study2_near_sub31,149,0.0,2176.84231878835
lazy_50,8,0,sim_study2_near_sub27,239,1069.9700652152574,1457.8030520877132
lazy_50,8,0,sim_study2_near_sub33,377,371.9802060052215,1054.3893416768713
lazy_50,8,0,sim_study1_near_sub45,121,1034.8912458827763,736.7573836381988
lazy_50,8,0,sim_study1_near_sub50,128,300.4043604206064,1649.5577005784219
lazy_50,8,0,sim_study2_near_sub32,302,405.38049302511513,1790.05835746026
lazy_50,8,0,sim_study2_near_sub26,633,67.79826224479467,1655.4584153599221
lazy_50,8,0,sim_study2_near_sub17,148,0.0,2782.0146658595245
lazy_50,8,0,sim_study1_near_sub49,226,570.8985544325608,2242.232503130742
lazy_50,8,0,sim_study1_near_sub2,147,570.9553344984927,2431.3157418209266
lazy_50,8,0,sim_study2_near_sub7,866,0.0,816.842467851019
lazy_50,8,0,sim_study2_near_sub6,162,0.0,2521.5181668197097
lazy_50,8,0,sim_study1_near_sub74,180,214.34121488419072,2141.752300709693
lazy_50,8,0,sim_study2_near_sub16,215,0.0,2737.005480991511
lazy_50,8,0,sim_study2_near_sub28,369,463.9056122313254,696.7362935577048
lazy_50,8,0,sim_study2_near_sub14,119,1179.5088505265435,2190.5173063879442
lazy_50,8,0,sim_study1_near_sub1,106,337.5366190733172,3380.419510660344
lazy_50,8,0,sim_study2_near_sub4,142,0.0,4523.156780951352
lazy_50,8,0,sim_study1_near_sub63,432,22.74853446906466,966.644785335592
lazy_50,8,0,sim_study2_near_sub15,237,106.95144471595987,2556.2464119658594
lazy_50,8,0,sim_study2_near_sub11,159,880.99380111458,2126.5263670972013
